ticker,year,quarter,AssetQualityComponent.ProblemLoansAndLeasesCalculatedAsPercentageOfGrossLoans,AssetQualityComponent.LoanLossReservesToNPLs,LiquidityAndAssetsComponent.LDRPercentage,ProfitabilityComponent.NIM,NetInterestIncome,AttributeToParentCompany,SolvencyRatio.LiabilitiesToEquityRatio,ProfitabilityRatio.EBITMargin,ProfitabilityRatio.ROA,ProfitabilityRatio.ROE,ProfitabilityRatio.ROIC,ValuationRatios.BookValuePerShare,ValuationRatios.BasicEPS,ValuationRatios.PriceToBook,ValuationRatios.PriceToEarning,Revenue,EBIT
KOS,2024,2,,,,,,10180938218.0,1.04497848,0.09825656,0.00468026,0.00968781,0.02206333,10680.9414152,47.02917329,3.61391365,374.76123783,461337922882.0,46486037896.0
KOS,2024,3,,,,,,11225390823.0,1.03940338,0.10275075,0.00608801,0.01252445,0.02395096,10732.79526589,51.85385069,3.64303977,292.6723231,304738997931.0,34018127091.0
KOS,2024,4,,,,,,-2845203308.0,1.0923122,0.08683974,0.00446357,0.00929841,0.02003608,,,3.61546236,389.8433741,435553551422.0,23478652286.0
KOS,2025,1,,,,,,2609040825.0,1.08377075,0.08622042,0.00441376,0.00914404,0.0198085,10688.41820394,12.05203592,3.63477544,397.271313,226684295528.0,19167085206.0
KOS,2025,2,,,,,,4325162338.0,1.06534437,0.08411419,0.00318298,0.00661051,0.01666661,10708.39758156,19.97937761,3.62332456,548.4694739,436108649141.0,41355532043.0
KOS,2025,3,,,,,,11013010935.0,1.07317775,0.0815073,0.0031241,0.0065148,0.01652796,10759.27037821,50.87279665,3.63872257,561.19972258,351764590970.0,34193362811.0
KOS,2025,4,,,,,,999172456.0,1.08168031,0.08667977,0.00389937,0.00816406,0.01962607,,,3.53961389,435.33044362,540730148681.0,40095994588.0
LPB,2021,1,0.01433415,0.94494528,0.82991467,0.03377756,2051177000000.0,876974000000.0,,,,,,,,,,,
LPB,2021,2,0.01336901,0.96496612,0.83064415,0.03535809,2179656000000.0,740493000000.0,,,,,,,,,,,
LPB,2021,3,0.01420991,0.98218507,0.85824697,0.03461052,2030516000000.0,611741000000.0,,,,,,,,,,,
LPB,2021,4,0.01370374,1.10729979,0.82309866,0.03531642,2755810000000.0,644710000000.0,,,,,,,,,,,
LPB,2022,1,0.01421655,1.177299,0.84625863,0.03760797,2875706000000.0,1420783000000.0,,,,,,,,,,,
