ticker,year,quarter,AssetQualityComponent.ProblemLoansAndLeasesCalculatedAsPercentageOfGrossLoans,AssetQualityComponent.LoanLossReservesToNPLs,LiquidityAndAssetsComponent.LDRPercentage,ProfitabilityComponent.NIM,GrowthComponent.AverageLoansGrowthPercentageYoY,GrowthComponent.AverageDepositGrowthPercentageYoY,GrowthComponent.InterestincomeGrowthPercentageYoY,NetInterestIncome,AttributeToParentCompany,SolvencyRatio.LiabilitiesToEquityRatio,ProfitabilityRatio.EBITMargin,ProfitabilityRatio.ROA,ProfitabilityRatio.ROE,ProfitabilityRatio.ROIC,ValuationRatios.BookValuePerShare,ValuationRatios.BasicEPS,ValuationRatios.PriceToBook,ValuationRatios.PriceToEarning,Growth.NetRevenueGrowthYoY,Growth.EBTgrowthYoY,Revenue,EBIT
BSI,2025,,,,,,,,,,356889768929.0,1.84633497,0.45034445,0.02826072,0.0675155,0.0493809,23385.04638701,456.82605632,1.84519625,94.45608324,0.03484315,-0.19591616,1333024979176.0,569363225084.0
BSI,2025,,,,,,,,,,112370678169.0,2.06657664,0.4865639,0.03571396,0.09396539,0.05989249,22142.31963083,878.64066947,1.80649547,45.52486743,0.35589372,0.2630583,1089005392430.0,312970521449.0
BSI,2025,,,,,,,,,,408259606627.0,2.0080464,0.47333018,0.03664548,0.09323566,0.06621268,,,,,0.48666026,0.19492506,1258998058599.0,641960234952.0
BSI,2025,,,,,,,,,,413071438156.0,2.0080464,0.47333018,0.03664548,0.09323566,0.06621268,22528.62734985,2011.95825095,1.58908927,17.79360977,0.48666026,0.19492506,1410672301781.0,678167451756.0
BSI,2026,,,,,,,,,,493666033520.0,2.23382777,0.4635615,0.03024917,0.0920216,0.06171117,22890.613434,361.98608415,1.56395983,98.89882945,0.75642247,0.42408387,2097190451600.0,992663527743.0
BSR,2025,,,,,,,,,,6715504313658.0,0.48842575,-0.00885927,-0.00058913,-0.00089253,0.0169145,18227.9678112,272.75092481,0.94360491,63.06119773,0.01319948,-0.9907026,101114077419627.0,6510998411127.0
BSR,2025,,,,,,,,,,14725833852993.0,0.45932455,0.00872136,0.02481145,0.03670488,0.02112875,18520.14020432,292.70947633,1.20949408,76.52639156,0.08476155,-0.26163934,167126456807653.0,14672662218865.0
BSR,2025,,,,,,,,,,8649771483353.0,0.40702175,0.03205303,0.06008885,0.08990018,0.07453914,,,,,0.15082117,7.15857573,147423365943576.0,8103929599421.0
BSR,2025,,,,,,,,,,631130749304.0,0.40702175,0.03205303,0.06008885,0.08990018,0.07453914,12078.56103483,968.44995653,2.06978298,25.81444692,0.15082117,7.15857573,123027063879559.0,-722372964988.0
BVH,2025,,,,,,,,,,1911694257420.0,9.53930108,-0.1901062,0.00901331,0.09718296,-0.26136147,31354.9081549,921.31109911,1.57072697,53.45642753,0.0093484,0.24473176,39999792780016.0,-5648920188450.0
BVH,2025,,,,,,,,,,1550994189019.0,9.64936745,-0.1837847,0.00964244,0.10532141,-0.243235,32048.67030335,895.22640792,1.57884865,56.52201449,0.02362138,0.34855776,42650508302256.0,-6196626596677.0
BVH,2025,,,,,,,,,,1805317054880.0,9.67822491,-0.18448073,0.01017669,0.11284106,-0.24168707,33015.35069739,1022.91291103,2.11416806,68.23650308,0.02318476,0.37985725,42667139949845.0,-8581413695556.0
BVH,2025,,,,,,,,,,2110496926600.0,10.45218766,-0.18682195,0.01044616,0.12059734,-0.22444971,,,,,0.02825178,0.33466106,42669681559583.0,-8040512078455.0
BVH,2025,,,,,,,,,,2836613711079.0,10.45218766,-0.18682195,0.01044616,0.12059734,-0.22444971,32938.73380889,3821.26730938,2.17980449,18.78957796,0.02825178,0.33466106,43728345353632.0,-7650032187447.0
BWE,2025,,,,,,,,,,748556163087.0,1.83809531,0.26034725,0.04504151,0.11769737,0.08737245,23177.33112329,670.97428416,2.04294445,70.56902346,0.12490457,-0.08656699,3135285985989.0,844514017829.0
BWE,2025,,,,,,,,,,742842206787.0,1.73538697,0.25741932,0.05423939,0.14730239,0.08880566,24531.1844362,1375.81484814,1.96076957,34.96109965,0.15488658,0.26139727,3483746674741.0,918911638376.0
BWE,2025,,,,,,,,,,674461285967.0,1.48471302,0.28762922,0.05765639,0.1591333,0.0922423,25915.19766517,1202.07402978,1.74800905,37.68486705,0.11464336,0.40290944,3525936181744.0,979678162243.0
BWE,2025,,,,,,,,,,638928762826.0,1.4085841,0.27798469,0.06753755,0.17518706,0.09238817,,,,,0.1474793,0.60412042,3958997823072.0,1050175761635.0
BWE,2025,,,,,,,,,,991038667809.0,1.4085841,0.27798469,0.06753755,0.17518706,0.09238817,27180.9372644,3990.13492481,1.58934917,10.82670156,0.1474793,0.60412042,4542868049098.0,1262847757946.0
CII,2025,,,,,,,,,,-332403202642.0,2.21429335,0.37978791,0.00043881,0.00236311,0.03733502,15204.47170794,32.98280753,1.15755419,533.61133627,-0.10692443,-0.49016433,2908693562956.0,266787744317.0
CII,2025,,,,,,,,,,695146941142.0,2.4254479,0.37569547,0.00104597,0.00535153,0.0385217,15036.35824758,52.42149797,1.66263663,476.90357903,-0.05417997,-0.57359096,5901690577210.0,805125936563.0
CII,2025,,,,,,,,,,178239051119.0,2.19200079,0.34443918,0.00116294,0.00554907,0.03728866,14255.7864078,17.69746864,1.29421131,1042.52197731,-0.04355431,-0.64866524,3195316563683.0,606762636864.0
CII,2025,,,,,,,,,,259680961017.0,2.13829152,0.367955,0.00334189,0.01659004,0.0315977,,,,,-0.02228569,-0.33406106,3182495930678.0,1039665880884.0
CII,2025,,,,,,,,,,124063136235.0,2.13829152,0.367955,0.00334189,0.01659004,0.0315977,14271.99407765,198.35806655,1.31376176,94.52602723,-0.02228569,-0.33406106,3063213441857.0,1089245251384.0
CMG,2025,,,,,,,,,,236396088069.0,1.09993084,0.05556647,0.045975,0.12452201,0.0828024,13829.48413996,378.38904487,2.85260098,104.25777526,0.11230833,0.08930566,5847653852577.0,325371040650.0
CMG,2025,,,,,,,,,,301226857578.0,1.07286703,0.05438641,0.04651324,0.1248074,0.08309963,14299.7397382,445.49585383,2.88816445,92.70568883,0.17050393,0.13084694,7608525903508.0,415516662388.0
CMG,2025,,,,,,,,,,324433723331.0,1.23840652,0.05887311,0.04854847,0.13068002,0.08753579,14459.12083042,424.93525794,2.56585448,87.30741756,0.13969175,0.24300804,7511889409464.0,376208516792.0
CMG,2025,,,,,,,,,,312150507785.0,1.51742069,0.0597071,0.04451061,0.13095825,0.07720026,,,,,0.14837886,0.31933307,7936684217718.0,415589932908.0
CMG,2025,,,,,,,,,,395431143236.0,1.51742069,0.0597071,0.04451061,0.13095825,0.07720026,15042.50000349,1867.14443433,1.84809706,14.88904634,0.14837886,0.31933307,9111140925785.0,543999793239.0
CTD,2025,,,,,,,,,,24007379559.0,1.99349638,0.01137966,0.01296372,0.03729887,0.02453573,84393.19151303,551.30149994,0.95979307,146.9250492,0.28665861,0.11185411,9077915407373.0,-241100470406.0
